RK,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,3PR,3PRD,WAB,SEED
1,Creighton,BE,31,24,134.2,90.5,0.9817,54.2,40.4,17.6,16.5,41.1,26.7,31.9,30.0,47.9,49.8,33.2,31.3,72.4,29.39696746494872,23.281739301222736,10.7,
2,Cincinnati,Amer,38,33,132.4,93.8,0.971,50.3,47.6,15.6,24.5,35.5,21.0,23.6,35.6,55.9,33.2,31.5,36.3,66.3,29.39696746494872,23.281739301222736,11.8,1.0
3,Michigan State,B10,33,28,124.3,85.8,0.9707,55.6,48.9,19.3,14.3,37.3,35.1,36.9,24.8,46.3,48.7,31.2,48.3,78.5,29.39696746494872,23.281739301222736,12.5,6.0
4,Texas Tech,B12,28,22,130.3,93.8,0.9649,48.1,40.6,17.8,15.7,36.4,27.4,47.7,22.1,49.2,49.0,44.0,34.9,59.1,29.39696746494872,23.281739301222736,8.3,3.0
5,Iowa,B10,30,16,118.9,84.3,0.9586,49.0,49.1,15.9,17.0,22.6,25.6,31.3,33.3,51.0,45.8,22.8,35.1,75.5,29.39696746494872,23.281739301222736,3.0,12.0
6,Florida,SEC,30,23,127.5,95.8,0.9466,53.1,49.8,13.3,27.4,34.1,19.2,27.2,28.5,52.7,49.0,30.2,33.6,73.4,29.39696746494872,23.281739301222736,8.2,10.0
7,Mississippi State,SEC,30,12,111.7,81.7,0.9389,54.2,53.8,14.2,17.3,32.8,23.7,46.2,32.0,51.0,53.3,26.4,23.9,56.7,29.39696746494872,23.281739301222736,-4.4,3.0
8,Oklahoma,B12,32,15,113.9,84.2,0.9371,52.2,45.0,19.5,26.4,38.7,25.2,29.7,40.0,47.1,46.9,37.2,30.2,66.4,29.39696746494872,23.281739301222736,-1.3,3.0
9,Alabama,SEC,30,25,109.3,80.5,0.9322,52.7,46.0,17.0,17.2,27.3,28.5,28.3,28.3,50.2,42.9,31.8,40.1,69.6,29.39696746494872,23.281739301222736,11.6,
10,Auburn,SEC,30,12,121.3,92.9,0.9297,46.6,49.2,20.5,14.7,36.3,28.0,42.3,21.1,49.3,46.0,40.8,37.6,72.6,29.39696746494872,23.281739301222736,-0.4,8.0
11,TCU,B12,28,22,115.2,87.2,0.927,48.8,48.9,17.0,23.9,36.7,40.1,37.8,30.9,63.4,43.5,22.9,30.4,73.2,29.39696746494872,23.281739301222736,8.5,11.0
12,Virginia,ACC,34,18,115.1,87.7,0.9236,43.0,51.2,18.4,24.6,28.4,34.7,36.6,33.3,46.7,38.5,40.0,37.5,66.0,29.39696746494872,23.281739301222736,-0.7,
13,Morehead State,OVC,29,13,121.1,94.2,0.9198,50.7,44.6,12.6,11.2,32.0,28.1,30.2,38.3,54.0,55.6,43.5,26.6,62.7,29.39696746494872,23.281739301222736,0.0,
14,Belmont,OVC,30,17,121.6,95.1,0.9178,46.3,45.9,15.0,20.0,30.8,20.2,30.1,20.7,46.4,47.3,28.8,34.9,83.1,29.39696746494872,23.281739301222736,3.2,2.0
15,Ohio State,B10,39,19,98.6,72.1,0.9176,54.9,45.8,13.3,15.0,36.6,29.7,38.3,28.0,61.3,55.5,35.5,27.6,69.1,29.39696746494872,23.281739301222736,3.8,
16,SMU,Amer,35,16,108.9,83.0,0.9138,58.5,45.0,12.9,20.2,18.3,28.1,25.5,17.5,39.5,54.1,27.4,44.4,66.9,29.39696746494872,23.281739301222736,0.3,
17,Purdue,B10,35,17,119.8,94.6,0.9088,37.9,46.0,13.0,22.5,36.7,25.0,31.4,38.4,50.0,38.2,39.5,40.0,74.6,29.39696746494872,23.281739301222736,0.2,6.0
18,Texas,B12,35,22,113.4,88.1,0.9088,42.2,50.1,16.4,18.5,30.1,24.5,42.8,26.9,57.6,49.1,30.1,41.0,59.9,29.39696746494872,23.281739301222736,5.4,1.0
19,Houston,Amer,38,26,117.5,92.5,0.9067,44.6,47.7,16.6,16.6,41.3,29.1,28.3,28.1,42.0,47.5,32.1,33.8,74.8,29.39696746494872,23.281739301222736,10.2,4.0
20,Villanova,BE,29,23,108.3,83.9,0.9019,56.9,52.3,14.0,9.2,36.9,24.5,39.3,23.5,51.2,44.8,36.3,33.6,65.1,29.39696746494872,23.281739301222736,7.7,2.0
21,North Carolina,ACC,36,12,110.0,87.0,0.8904,49.6,49.6,14.2,12.7,26.2,29.2,36.0,32.3,54.2,44.5,17.0,34.9,43.8,29.39696746494872,23.281739301222736,-6.7,12.0
22,Memphis,Amer,28,10,103.4,80.9,0.8852,51.0,52.0,16.6,15.9,41.0,28.3,48.5,31.4,37.9,47.7,39.1,35.2,69.4,29.39696746494872,23.281739301222736,-3.7,
23,BYU,WCC,31,10,111.6,89.4,0.883,53.9,48.7,13.5,10.8,38.9,32.6,41.2,35.3,43.4,50.6,37.3,32.7,63.2,29.39696746494872,23.281739301222736,-3.6,
24,Baylor,B12,34,29,115.8,93.8,0.8805,45.8,45.0,19.8,16.9,29.8,33.9,31.1,21.1,53.3,48.9,38.7,32.9,77.9,29.39696746494872,23.281739301222736,9.7,7.0
25,Arizona,P12,38,25,124.6,102.8,0.8788,48.2,47.9,16.9,20.1,40.5,37.0,36.7,46.2,48.7,50.2,29.9,32.7,60.7,29.39696746494872,23.281739301222736,4.8,1.0
26,LSU,SEC,37,28,120.2,99.5,0.8672,45.3,50.9,17.3,15.6,25.5,30.4,32.9,22.5,41.6,47.8,42.5,28.0,60.9,29.39696746494872,23.281739301222736,9.2,
27,Wisconsin,B10,37,23,124.7,104.6,0.861,48.3,49.4,12.9,25.4,29.4,22.1,27.2,19.5,57.4,45.4,31.5,29.2,64.4,29.39696746494872,23.281739301222736,6.3,
28,Murray State,OVC,35,29,115.7,95.9,0.8571,45.3,47.2,13.4,23.3,28.9,37.4,29.1,33.2,54.4,45.3,28.6,27.1,63.4,29.39696746494872,23.281739301222736,10.9,
29,Oregon,P12,39,22,118.6,101.7,0.8228,51.8,47.7,16.4,23.7,36.8,29.9,19.8,35.8,64.3,49.7,48.3,32.7,61.6,29.39696746494872,23.281739301222736,2.4,
30,UCLA,P12,31,23,114.0,97.2,0.8213,49.6,47.1,18.1,19.9,35.8,26.3,35.8,38.1,49.6,44.7,36.0,36.7,57.3,29.39696746494872,23.281739301222736,8.8,
31,Saint Louis,A10,34,27,121.0,105.0,0.8113,47.4,45.6,10.9,16.0,37.8,22.7,29.6,37.0,53.6,47.6,42.0,27.8,61.9,29.39696746494872,23.281739301222736,8.8,
32,Xavier,BE,35,32,103.5,87.5,0.8111,44.5,44.2,14.0,17.8,35.1,26.6,26.8,30.6,52.7,48.2,44.3,40.0,73.7,29.39696746494872,23.281739301222736,17.8,
33,Wake Forest,ACC,31,12,120.4,104.4,0.81,50.0,52.9,16.1,14.5,39.8,21.0,27.9,37.7,53.4,46.8,24.5,34.9,70.7,29.39696746494872,23.281739301222736,-6.8,
34,West Virginia,B12,34,24,114.5,100.0,0.7896,53.8,45.3,15.9,12.7,30.7,20.5,36.6,23.2,51.0,52.0,37.4,31.4,71.3,29.39696746494872,23.281739301222736,10.6,
35,Iowa State,B12,32,21,115.4,101.3,0.7822,47.0,46.6,12.5,19.9,37.2,30.7,27.7,36.4,58.8,43.9,44.3,31.4,76.5,29.39696746494872,23.281739301222736,6.4,
36,Stanford,P12,28,20,113.4,100.9,0.7568,34.6,47.9,12.4,16.8,27.8,24.0,27.8,26.8,49.5,45.4,37.3,29.4,75.0,29.39696746494872,23.281739301222736,3.5,
37,Syracuse,ACC,28,10,100.5,88.4,0.7502,55.5,46.9,9.7,16.8,19.4,31.0,48.1,31.1,54.1,53.4,31.4,24.8,64.6,29.39696746494872,23.281739301222736,-6.0,
38,Gonzaga,WCC,31,22,108.7,97.1,0.7423,50.5,52.9,12.0,24.8,30.1,23.9,38.2,25.5,49.9,43.1,19.0,39.5,87.4,29.39696746494872,23.281739301222736,6.5,
39,Saint Mary's,WCC,30,15,124.8,113.1,0.7423,45.7,53.0,16.0,17.4,27.0,27.3,47.8,24.8,59.2,50.4,30.7,22.9,66.2,29.39696746494872,23.281739301222736,-0.4,
40,Kansas,B12,32,16,110.4,99.0,0.7372,50.4,48.6,11.9,19.3,35.5,24.4,42.6,21.8,45.3,54.3,42.9,25.6,84.6,29.39696746494872,23.281739301222736,-1.3,
41,Duke,ACC,31,18,100.7,89.4,0.7364,49.2,49.6,16.2,17.5,40.6,31.4,31.8,24.6,43.4,44.9,42.8,24.6,63.5,29.39696746494872,23.281739301222736,1.9,
